"station","location","latitude","longitude","battalion","division"
"1","935 Folsom at 5th Street","37.7802841","-122.40341639999997","Battalion 2","3"
"2","1340 Powell Street at Broadway","37.7974619","-122.4102964","Battalion 1","2"
"3","1067 Post Street at Polk Street","37.786839","-122.419944","Battalion 4","2"
"4","449 Mission Rock at 3rd Street ","37.772931","-122.389809","Battalion 3","3"
"5","1301 Turk Street at Webster Street","37.780717","-122.430536","Battalion 5","2"
"6","135 Sanchez Street at Henry Street","37.766799","-122.431140","Battalion 2","3"
"7","2300 Folsom Street at 19th Street","37.760503","-122.414868","Battalion 6","3"
"8","36 Bluxome Street at 4th Street","37.777732","-122.395790","Battalion 3","3"
"9","2245 Jerrold Avenue at Upton Street","37.744987","-122.400350","Battalion 10","3"
"10","655 Presidio Avenue at Bush Street","37.785380","-122.446451","Battalion 5","2"
"11","3880 26th Street at Church Street","37.748501","-122.427154","Battalion 6","3"
"12","1145 Stanyan Street at Grattan Street","37.763679","-122.452425","Battalion 5","2"
"13","530 Sansome Street at Washington Street","37.795552","-122.401411","Battalion 1","2"
"14","551 26th Avenue at Geary Boulevard","37.779988","-122.485825","Battalion 7","2"
"15","1000 Ocean Avenue at Phelan Avenue","37.723148","-122.452350","Battalion 9","3"
"16","2251 Greenwich Street at Fillmore Street","37.798967","-122.435894","Battalion 4","2"
"17","1295 Shafter Avenue at Ingalls Street","37.727872","-122.385148","Battalion 10","3"
"18","1935 32nd Avenue at Ortega Street","37.751771","-122.490295","Battalion 8","2"
"19","390 Buckingham Way at Winston Street","37.730070","-122.475981","Battalion 9","3"
"20","285 Olympia Way at Clarendon Avenue","37.751170","-122.456224","Battalion 8","2"
"21","1443 Grove Street at Broderick Street","37.775722","-122.439678","Battalion 5","2"
"22","1290 16th Avenue at Irving Street","37.763990","-122.473645","Battalion 7","2"
"23","1348 45th Avenue at Judah Street","37.760471","-122.504874","Battalion 8","2"
"24","100 Hoffman Avenue at Alvarado Street","37.753306","-122.440881","Battalion 6","3"
"25","3305 3rd Street at Cargo Way","37.746063","-122.387102","Battalion 10","3"
"26","80 Digby Street at Addison Street","37.740140","-122.433781","Battalion 6","3"
"28","1814 Stockton Street at Greenwich Street","37.802210","-122.409500","Battalion 1","2"
"29","299 Vermont Street at 16th Street","37.765974","-122.404662","Battalion 2","3"
"31","441 12th Avenue at Geary Boulevard","37.780795","-122.470728","Battalion 7","2"
"32","194 Park Street at Holly Park Circle","37.736471","-122.419321","Battalion 6","3"
"33","8 Capital Street at Broad Street","37.710879","-122.458686","Battalion 9","3"
"34","499 41st Avenue at Geary Boulevard","37.779482","-122.501902","Battalion 7","2"
"35","Pier 22½, The Embarcadero at Harrison Street","37.790406","-122.388218","Battalion 3","3"
"36","109 Oak Street at Franklin Street","37.775050","-122.421260","Battalion 2","3"
"37","798 Wisconsin Street at 22nd Street","37.757306","-122.398945","Battalion 10","3"
"38","2150 California Street at Laguna Street","37.789544","-122.428928","Battalion 4","2"
"39","1091 Portola Drive at Miraloma Drive","37.740031","-122.458658","Battalion 9","3"
"40","2155 18th Avenue at Rivera Street","37.746831","-122.474908","Battalion 8","2"
"41","1325 Leavenworth Street at Jackson Street","37.794778","-122.416495","Battalion 1","2"
"42","2430 San Bruno Avenue at Silver Avenue","37.732446","-122.405633","Battalion 10","3"
"43","720 Moscow Street at France Avenue","37.716606","-122.431183","Battalion 9","3"
"44","1298 Girard Street at Wilde Avenue","37.716585","-122.400149","Battalion 10","3"
"48","800 Avenue I at 10th Street, Treasure Island","37.826786","-122.369339","Battalion 3","3"
"49","1415 Evans Avenue at Mendell Street","37.740861","-122.384781","without Battalion","3"
"51","218 Lincoln Blvd at Keyes Avenue","37.801311","-122.455579","Battalion 4","2"
